01010;Vitoria-Gasteiz;Álava;oficina;4232;C/ Antonio Machado, 35;945197397;42.860577;-2.6933467
01015;Vitoria-Gasteiz;Álava;oficina;4229;Av. de los Derechos Humanos, 13-15;945357875;42.841694;-2.7007322
01009;Vitoria-Gasteiz;Álava;oficina;4204;Av. de Gasteiz, 67;945214230;42.849846;-2.6812687
01002;Vitoria-Gasteiz;Álava;oficina;4225;C/ Portal de Legutiano, 28-30;945204176;42.85461;-2.666678
01005;Vitoria-Gasteiz;Álava;oficina;4200;C/ General Álava, 15;945150015;42.84492;-2.6712408
01004;Vitoria-Gasteiz;Álava;oficina;7392;Fueros, 13;945150530;42.84553;-2.669633
01008;Vitoria-Gasteiz;Álava;empresa;4221;Av. de Gasteiz, 20;945154910;42.848248;-2.68472
01005;Vitoria-Gasteiz;Álava;cajero;0489-004;C/ Zaramaga, 1;/;42.86105;-2.66865
01010;Vitoria-Gasteiz;Álava;cajero;4232-021;C/ Antonio Machado, 35;/;42.860577;-2.6933467
01015;Vitoria-Gasteiz;Álava;cajero;4229-021;Av. de los Derechos Humanos, 13-15;/;42.841694;-2.7007322
01009;Vitoria-Gasteiz;Álava;cajero;4204-021;Av. de Gasteiz, 67;/;42.849846;-2.6812687
01009;Vitoria-Gasteiz;Álava;cajero;4204-022;Av. de Gasteiz, 67;/;42.849846;-2.6812687
01002;Vitoria-Gasteiz;Álava;cajero;4225-021;C/ Portal de Legutiano, 28-30;/;42.85461;-2.666678
01005;Vitoria-Gasteiz;Álava;cajero;4200-021;C/ General Álava, 15;/;42.84492;-2.6712408
01005;Vitoria-Gasteiz;Álava;cajero;4200-022;C/ General Álava, 15;/;42.84492;-2.6712408
01004;Vitoria-Gasteiz;Álava;cajero;7392-021;Fueros, 13;/;42.84553;-2.669633
01400;Llodio;Álava;oficina;4058;Av. de Zumalacárregui, 38;946729849;43.144707;-2.9622264
48008;Bilbao;Vizcaya;empresa;4218;C/ Elcano, 16;946613100;43.261135;-2.934004
01400;Llodio;Álava;cajero;4058-021;Av. de Zumalacárregui, 38;/;43.144707;-2.9622264
