Vitoria-Gasteiz;Álava;C/ Portal de Legutiano, 28-30;945204176;42.85461;-2.666678
Vitoria-Gasteiz;Álava;Fueros, 13;945150530;42.84553;-2.669633
Vitoria-Gasteiz;Álava;C/ General Álava, 15;945150015;42.84492;-2.6712408
Vitoria-Gasteiz;Álava;C/ Heraclio Fournier, 11;945150399;42.83848;-2.6656103
Vitoria-Gasteiz;Álava;Av. de Gasteiz, 67;945214230;42.849846;-2.6812687
Vitoria-Gasteiz;Álava;C/ Antonio Machado, 35;945197397;42.860577;-2.6933467
Vitoria-Gasteiz;Álava;Av. de los Derechos Humanos, 13-15;945357875;42.841694;-2.7007322
Llodio;Álava;Av. de Zumalacárregui, 38;946729849;43.144707;-2.9622264
Albacete;Albacete;Pza. del Altozano, 4;967193044;38.994965;-1.8541145
Albacete;Albacete;Marques de Molins, 8 Planta 2 Planta 2;967193840;38.9942;-1.85438
Albacete;Albacete;Jose Isbert, 1;967217751;38.9966;-1.85075
Albacete;Albacete;Marques de Molins, 8;967213091;38.9942;-1.85438
Albacete;Albacete;Paseo de Pedro Simón Abril, 2;967550112;38.989975;-1.8568108
Albacete;Albacete;C/ Hermanos Falcó, 4;967193010;38.989086;-1.8489825
Albacete;Albacete;Av. España, 2-4;967502778;38.9865;-1.85437
Albacete;Albacete;Arquitecto Vandelvira, 24;967224011;38.987682;-1.862174
Albacete;Albacete;Feria, 47;967225508;38.996;-1.86208
Albacete;Albacete;C/ Arquitecto Julio Carrilero;967550116;38.9988;-1.8644679
Albacete;Albacete;Paseo Circunvalacion, 92;967590481;38.987;-1.86692
Albacete;Albacete;Fundación Campollano (Pol. Ind. Campollano, Calle C);967191313;39.013264;-1.8800783
Hellin;Albacete;C/ Juan XXIII, 1;967543025;38.510628;-1.7008303
Elche de la Sierra;Albacete;Av. de España, 1;967410053;38.450573;-2.0481977
Tobarra;Albacete;C/ Mayor, 122;967325079;38.591923;-1.6892713
Villarrobledo;Albacete;C/ Graciano Atienza, 17;967138002;39.26565;-2.6039314
La Roda;Albacete;C/ Mártires, 6;967548003;39.205837;-2.1586418
Almansa;Albacete;Rambla de La Mancha, 18;967318008;38.868443;-1.0959319
Almansa;Albacete;Corredera, 62;967345462;38.8658;-1.09433
Alicante;Alicante;C/ Explanada de España, 16;965980098;38.342987;-0.484069
Alicante;Alicante;C/ Churruca, 41;965982089;38.342625;-0.4937303
Alicante;Alicante;Av. de Óscar Esplá, 30;965984430;38.342625;-0.49381614
Alicante;Alicante;Paseo Federico Soto, 5;965210523;38.34434;-0.489626
Alicante;Alicante;Av. de la Estación, 5;965982104;38.345284;-0.4922819
Alicante;Alicante;C/ Arzobispo Loaces, 17;965924144;38.340126;-0.49046874
Alicante;Alicante;Alcalde Alfonso de Rojas, 8;965916387;38.352;-0.486993
Alicante;Alicante;Av. de Alfonso X "El Sabio", 36;965146180;38.3468;-0.488892
Alicante;Alicante;Doctor Rico, 9;965134945;38.352318;-0.497685
Alicante;Alicante;Pintor Gisbert, 5;965921658;38.348125;-0.494651
Alicante;Alicante;Pza. Navarro Rodrigo, 22 Acc. Acc.;965923570;38.3418;-0.498075
Alicante;Alicante;Av. Orihuela, 23;965100687;38.344543;-0.508864
Alicante;Alicante;Ramón Gómez Sempere, 15;965109263;38.329;-0.515703
Alicante;Alicante;Av. Novelda, 64;965174667;38.363544;-0.494093
Alicante;Alicante;Devesa, 10;965247246;38.3594;-0.484697
Alicante;Alicante;Padre Espla, 9;965201711;38.356;-0.479193
Alicante;Alicante;Av. del Pintor Xavier Soler, 7;965916540;38.36439;-0.46847463
